,canonical_brand_url,instagram_id,fct_date,fct_followers_count,fct_following_count,est_following_count,est_posts_count,est_followers_count,fct_posts_count,comments,likes,likes_per_post_pax,comments_per_post_pax,comments_per_post,likes_per_post,name
170,lossundays.com,2179286233,2020-07-01,20543.0,4089.0,4045.7595,444.92325,19606.273,457.0,444.0,12916.0,0.0014806345590071966,5.089824591198477e-05,0.99792492683949,0.99792492683949,Los Sundays
171,thelongdrink.com,7521961287,2020-07-01,9403.0,1359.0,1314.463,476.51178,8518.649,487.0,241.0,7388.0,0.0018200465692313934,5.937076653827367e-05,0.5057587455837065,0.5057587455837065,The Long Drink
172,teremana.com,16168990751,2020-07-01,468225.0,3.0,3.0,45.733334,433255.12,51.0,2812.0,160815.0,0.008116148549211508,0.00014191841383193586,61.486880124557096,61.486880124557096,Teremana
173,properwhiskey.com,7740896584,2020-07-01,719210.0,1.0,1.0312349,301.52997,721367.4,311.0,1781.0,158840.0,0.0007302522430603407,8.187983158464283e-06,5.906543917565589,5.906543917565589,Proper 12
174,drinkonda.com,19344966306,2020-07-01,,,,,,,,,,,,,Onda
175,madremezcal.com,2263717464,2020-07-01,21656.0,258.0,248.33333,476.77713,21140.512,480.0,48.0,4634.0,0.00045975357911846236,4.762229563592187e-06,0.10067596989649832,0.10067596989649832,Madre Mezcal
176,mezcalrosaluna.com,7617656729,2020-08-01,,,,,,,,,,,,,Rosaluna Mezcal
177,ghosttequila.com,2694491630,2020-08-01,,,2014.0798,878.5152,11828.829,,,,,,,,Ghost Tequila
178,thelongdrink.com,7521961287,2020-08-01,,,1354.982,485.506,10036.848,,,,,,,,The Long Drink
179,lossundays.com,2179286233,2020-08-01,,,4096.13,457.71164,20775.137,,,,,,,,Los Sundays
180,teremana.com,16168990751,2020-08-01,501210.0,3.0,3.0,51.548386,468328.62,57.0,2850.0,89298.0,0.0036989287005514226,0.00011805355995175204,55.2878614085591,55.2878614085591,Teremana
181,madremezcal.com,2263717464,2020-08-01,,,256.42062,479.89008,21702.531,,,,,,,,Madre Mezcal
182,properwhiskey.com,7740896584,2020-08-01,715498.0,1.0,1.0156174,310.765,718432.7,320.0,1438.0,171263.0,0.000767088271607903,6.440812870101332e-06,4.627290499951489,4.627290499951489,Proper 12
183,drinkonda.com,19344966306,2020-08-01,4057.0,172.0,172.0,63.0,4057.0,63.0,60.0,1837.0,0.007187264027293605,0.0002347500498843856,0.9523809523809523,0.9523809523809523,Onda
184,thelongdrink.com,7521961287,2020-09-01,13707.0,1432.0,1393.4913,493.75308,11871.9375,502.0,283.0,8772.0,0.0014964671978650907,4.827863850841549e-05,0.5731609789570019,0.5731609789570019,The Long Drink
185,lossundays.com,2179286233,2020-09-01,23345.0,4204.0,4150.065,470.8558,22060.068,484.0,302.0,8238.0,0.000793098274858895,2.9074493688684907e-05,0.641385318286606,0.641385318286606,Los Sundays
186,properwhiskey.com,7740896584,2020-09-01,,,1.5078092,319.3825,716197.8,,,,,,,,Proper 12
187,madremezcal.com,2263717464,2020-09-01,22872.0,271.0,263.7121,482.9458,22287.408,486.0,46.0,4977.0,0.00046239132657151553,4.273659036023651e-06,0.09524878345683281,0.09524878345683281,Madre Mezcal
