,instagram_id,fct_date,canonical_brand_url,fct_followers_count,est_followers_count,fct_following_count,est_following_count,fct_posts_count,est_posts_count,execution_period,comments,likes
129,7617656729,2021-09-01,mezcalrosaluna.com,,13191.239,,351.70322,,333.3851,2021-12,,
24,211618639,2021-09-01,dulcevidaspirits.com,,22970.617,,4635.825,,1561.3478,2021-12,,
148,7740896584,2021-09-01,properwhiskey.com,,774797.25,,1.0032978,,464.95688,2021-12,,
134,16168990751,2021-09-01,teremana.com,,735230.6,,3.0,,178.94873,2021-12,,
154,7617656729,2021-10-01,mezcalrosaluna.com,,13380.518,,359.35254,,354.57013,2021-12,,
184,16168990751,2021-10-01,teremana.com,,743709.8,,3.0,,189.22438,2021-12,,
206,2263717464,2021-10-01,madremezcal.com,34326.0,33346.62,814.0,742.67224,456.0,449.42834,2021-12,56.0,6013.0
205,211618639,2021-10-01,dulcevidaspirits.com,,23281.143,,4707.079,,1567.0072,2021-12,,
130,7740896584,2021-10-01,properwhiskey.com,,774721.5,,1.0016489,,475.72845,2021-12,,
249,2694491630,2021-10-01,ghosttequila.com,,11833.0,,2015.0,,879.0,2021-12,,
103,2179286233,2021-10-01,lossundays.com,36338.0,35307.473,4824.0,4759.5337,613.0,602.0089,2021-12,350.0,8594.0
95,7617656729,2021-11-01,mezcalrosaluna.com,,13569.458,,366.92673,,375.72385,2021-12,177.0,929.0
7,2694491630,2021-11-01,ghosttequila.com,,11833.0,,2015.0,,879.0,2021-12,,
