,brand_name,unibi_word,counts
500,Athletic Greens,improve_taste,3
501,Athletic Greens,included,3
502,Athletic Greens,including,3
503,Athletic Greens,instructed,3
504,Athletic Greens,justify_price,3
505,Athletic Greens,last_week,3
506,Athletic Greens,late,3
507,Athletic Greens,left,3
508,Athletic Greens,level_overall,3
509,Athletic Greens,likely,3
510,Athletic Greens,lost,3
511,Athletic Greens,lot_energy,3
512,Athletic Greens,loved,3
513,Athletic Greens,low,3
514,Athletic Greens,made_feel,3
515,Athletic Greens,marketing,3
516,Athletic Greens,mind,3
517,Athletic Greens,miracle,3
518,Athletic Greens,mixed_water,3
519,Athletic Greens,money_’,3
520,Athletic Greens,month_benefit,3
521,Athletic Greens,month_feel,3
522,Athletic Greens,morning_’,3
523,Athletic Greens,mouth,3
524,Athletic Greens,much_better,3
525,Athletic Greens,multi,3
526,Athletic Greens,multi_vitamin,3
527,Athletic Greens,must,3
528,Athletic Greens,nd,3
529,Athletic Greens,needed,3
530,Athletic Greens,nice,3
531,Athletic Greens,notice_anything,3
532,Athletic Greens,noticeable_health,3
533,Athletic Greens,noticed_benefit,3
534,Athletic Greens,nutritionally,3
535,Athletic Greens,offer,3
536,Athletic Greens,okay,3
537,Athletic Greens,old,3
538,Athletic Greens,online,3
539,Athletic Greens,opening,3
540,Athletic Greens,pay_shipping,3
541,Athletic Greens,person,3
542,Athletic Greens,pineapple_flavor,3
543,Athletic Greens,please,3
544,Athletic Greens,podcast,3
545,Athletic Greens,poor,3
546,Athletic Greens,positive,3
547,Athletic Greens,prefer,3
548,Athletic Greens,price_tag,3
549,Athletic Greens,price_would,3
550,Athletic Greens,problem,3
551,Athletic Greens,product_market,3
552,Athletic Greens,promised,3
553,Athletic Greens,quite,3
554,Athletic Greens,rd,3
555,Athletic Greens,real_difference,3
556,Athletic Greens,really_feel,3
557,Athletic Greens,really_hoping,3
558,Athletic Greens,really_taste,3
559,Athletic Greens,recommended,3
560,Athletic Greens,remaining,3
561,Athletic Greens,run,3
562,Athletic Greens,say_’,3
563,Athletic Greens,seeing,3
564,Athletic Greens,send,3
565,Athletic Greens,sensitive,3
566,Athletic Greens,several,3
567,Athletic Greens,short,3
568,Athletic Greens,significant,3
569,Athletic Greens,simply,3
570,Athletic Greens,skin,3
571,Athletic Greens,somehow,3
572,Athletic Greens,something_else,3
573,Athletic Greens,spending,3
574,Athletic Greens,spent,3
575,Athletic Greens,spill,3
576,Athletic Greens,started,3
577,Athletic Greens,stay,3
578,Athletic Greens,stick,3
579,Athletic Greens,stomach_taste,3
580,Athletic Greens,stuff_’,3
581,Athletic Greens,substitute,3
582,Athletic Greens,sugar,3
583,Athletic Greens,tag,3
584,Athletic Greens,taking_athletic,3
585,Athletic Greens,taking_every,3
586,Athletic Greens,tangible,3
587,Athletic Greens,taste_better,3
588,Athletic Greens,taste_drink,3
589,Athletic Greens,taste_green,3
590,Athletic Greens,taste_texture,3
591,Athletic Greens,taste_tried,3
592,Athletic Greens,tasty,3
593,Athletic Greens,team,3
594,Athletic Greens,terrible_’,3
595,Athletic Greens,th,3
596,Athletic Greens,thanks,3
597,Athletic Greens,thing_morning,3
598,Athletic Greens,tired,3
599,Athletic Greens,tolerate,3
600,Athletic Greens,ton,3
601,Athletic Greens,top,3
602,Athletic Greens,tried_mixing,3
603,Athletic Greens,tried_water,3
604,Athletic Greens,tried_’,3
605,Athletic Greens,truly,3
606,Athletic Greens,u,3
607,Athletic Greens,unbearable,3
608,Athletic Greens,understand,3
609,Athletic Greens,unfortunately_taste,3
610,Athletic Greens,unfortunately_’,3
611,Athletic Greens,used_month,3
612,Athletic Greens,used_taste,3
613,Athletic Greens,various,3
614,Athletic Greens,water_taste,3
615,Athletic Greens,water_’,3
616,Athletic Greens,way_expensive,3
617,Athletic Greens,way_overpriced,3
618,Athletic Greens,week_’,3
619,Athletic Greens,weird,3
620,Athletic Greens,whatever,3
621,Athletic Greens,working,3
622,Athletic Greens,worse,3
623,Athletic Greens,would_feel,3
624,Athletic Greens,yet_receive,3
625,Athletic Greens,’_bad,3
626,Athletic Greens,’_difficult,3
627,Athletic Greens,’_getting,3
628,Athletic Greens,’_going,3
629,Athletic Greens,’_justify,3
630,Athletic Greens,’_result,3
631,Athletic Greens,’_seen,3
632,Athletic Greens,’_stand,3
633,Athletic Greens,’_stomach,3
634,Athletic Greens,’_want,3
635,Athletic Greens,account,2
636,Athletic Greens,admittedly,2
637,Athletic Greens,advertised_’,2
638,Athletic Greens,ag_’,2
639,Athletic Greens,almost_two,2
640,Athletic Greens,alone,2
641,Athletic Greens,answer,2
642,Athletic Greens,anything_different,2
643,Athletic Greens,anything_’,2
644,Athletic Greens,apple_juice,2
645,Athletic Greens,area,2
646,Athletic Greens,around,2
647,Athletic Greens,artificial_tasting,2
648,Athletic Greens,attempt,2
649,Athletic Greens,awesome,2
650,Athletic Greens,awful_’,2
651,Athletic Greens,basis,2
652,Athletic Greens,became,2
653,Athletic Greens,benefit_nothing,2
654,Athletic Greens,benefit_price,2
655,Athletic Greens,benefited,2
656,Athletic Greens,better_green,2
657,Athletic Greens,better_others,2
658,Athletic Greens,better_price,2
659,Athletic Greens,better_taking,2
660,Athletic Greens,bitter,2
661,Athletic Greens,bloated,2
662,Athletic Greens,bloating,2
663,Athletic Greens,breakfast,2
664,Athletic Greens,bring,2
665,Athletic Greens,broke,2
666,Athletic Greens,bubble,2
667,Athletic Greens,bubblegum,2
668,Athletic Greens,buck,2
669,Athletic Greens,bummed,2
670,Athletic Greens,ca_past,2
671,Athletic Greens,ca_say,2
672,Athletic Greens,ca_stomach,2
673,Athletic Greens,ca_tell,2
674,Athletic Greens,calorie,2
675,Athletic Greens,canceled_subscription,2
676,Athletic Greens,canister,2
677,Athletic Greens,capsule,2
678,Athletic Greens,carbs,2
679,Athletic Greens,care_taste,2
680,Athletic Greens,cause,2
681,Athletic Greens,caused_stomach,2
682,Athletic Greens,ceramic_container,2
683,Athletic Greens,chance,2
684,Athletic Greens,changed,2
685,Athletic Greens,charge_shipping,2
686,Athletic Greens,child,2
687,Athletic Greens,choke_taste,2
688,Athletic Greens,cold,2
689,Athletic Greens,combo,2
690,Athletic Greens,complete_waste,2
691,Athletic Greens,concerned,2
692,Athletic Greens,constantly_shake,2
693,Athletic Greens,contains,2
694,Athletic Greens,continuing,2
695,Athletic Greens,cool,2
696,Athletic Greens,cough,2
697,Athletic Greens,could_continue,2
698,Athletic Greens,could_drink,2
699,Athletic Greens,could_past,2
700,Athletic Greens,could_stomach,2
701,Athletic Greens,could_tell,2
702,Athletic Greens,couldnt,2
703,Athletic Greens,couple_day,2
704,Athletic Greens,couple_month,2
705,Athletic Greens,covered,2
706,Athletic Greens,covered_green,2
707,Athletic Greens,daily_basis,2
708,Athletic Greens,daily_multivitamin,2
709,Athletic Greens,daily_serving,2
710,Athletic Greens,daily_supplement,2
711,Athletic Greens,daily_use,2
712,Athletic Greens,date,2
713,Athletic Greens,day_use,2
714,Athletic Greens,debating,2
715,Athletic Greens,definitely_worth,2
716,Athletic Greens,delay,2
