Owner Role,Opportunity Owner,Account Name (DBA),Opportunity Name,Stage,Fiscal Period,Amount,Probability (%),Age,Fund/Close Date,Created Date,Next Step,Lead Source,Type,Website
Equity Fund,Aditi Dash,Ranch Rider Spirits,Ranch Rider Spirits - January 2021,Closed Lost,Q1-2021,,1/0/00,0,44208,44208,,Other,,ranchriderspirits.com
Equity Fund,Aditi Dash,Duradry,Duradry - January 2021,Closed Passed,Q1-2021,,1/0/00,64,44286,44222,,Helio,,duradry.com
Equity Fund,Aditi Dash,BREAD,Bread Beauty Supply - January 2021,Closed Lost,Q2-2021,,1/0/00,93,44316,44223,,Helio,,breadbeautysupply.com
Equity Fund,Aditi Dash,Moonshot Snacks,Moonshot Snacks - April 2021,Closed Passed,Q2-2021,,1/0/00,11,44316,44305,,,,Moonshotsnacks.com
Equity Fund,Aditi Dash,Femi Secrets,FEMI SECRETS - March 2021,Closed Passed,Q2-2021,,1/0/00,39,44316,44277,,Investor Referral,,femisecrets.com
Equity Fund,Aditi Dash,Bhu Foods,Bhu Foods - January 2021,Closed Passed,Q2-2021,,1/0/00,136,44347,44211,,Helio,,bhufoods.com
Equity Fund,Aditi Dash,Three Spirit,Three Spirit - January 2021,Closed Passed,Q2-2021,,1/0/00,129,44347,44218,,Entrepreneur Referral,,threespiritdrinks.com
Equity Fund,Aditi Dash,Poppilu,Poppilu - January 2021,Closed Passed,Q2-2021,,1/0/00,160,44377,44217,,Helio,,poppilu.com
Equity Fund,Aditi Dash,Hella Cocktail Co,Hella Cocktail Co - March 2021,Closed Passed,Q2-2021,,1/0/00,117,44377,44260,,Inbound,,hellacocktail.co
Equity Fund,Aditi Dash,Aavrani,Aavrani - March 2021,Closed Passed,Q3-2021,,1/0/00,122,44389,44267,,Helio,,aavrani.com
